Unit,Team,Initiative,Описание,Стейкхолдер (мок),25_Q1_Стоимость,25_Q1_Поддержка,25_Q1_On-Track,25_Q1_Metric Plan,25_Q1_Metric Fact,25_Q1_Other Costs,25_Q1_Comment,25_Q2_Стоимость,25_Q2_Поддержка,25_Q2_On-Track,25_Q2_Metric Plan,25_Q2_Metric Fact,25_Q2_Other Costs,25_Q2_Comment,25_Q3_Стоимость,25_Q3_Поддержка,25_Q3_On-Track,25_Q3_Metric Plan,25_Q3_Metric Fact,25_Q3_Other Costs,25_Q3_Comment,25_Q4_Стоимость,25_Q4_Поддержка,25_Q4_On-Track,25_Q4_Metric Plan,25_Q4_Metric Fact,25_Q4_Other Costs,25_Q4_Comment,26_Q1_Стоимость,26_Q1_Поддержка,26_Q1_On-Track,26_Q1_Metric Plan,26_Q1_Metric Fact,26_Q1_Other Costs,26_Q1_Comment,26_Q2_Стоимость,26_Q2_Поддержка,26_Q2_On-Track,26_Q2_Metric Plan,26_Q2_Metric Fact,26_Q2_Other Costs,26_Q2_Comment,26_Q3_Стоимость,26_Q3_Поддержка,26_Q3_On-Track,26_Q3_Metric Plan,26_Q3_Metric Fact,26_Q3_Other Costs,26_Q3_Comment,26_Q4_Стоимость,26_Q4_Поддержка,26_Q4_On-Track,26_Q4_Metric Plan,26_Q4_Metric Fact,26_Q4_Other Costs,26_Q4_Comment
Client Platform,Auth&Security,Улучшение OTP,,"Eurasia, IMF, MENA, Drinkit",473 642,FALSE,TRUE,[MOCK] Снижение latency на 10%,[MOCK] Latency снижен на 12%,58 632,[MOCK] Успешный старт,667 435,FALSE,TRUE,[MOCK] Внедрение нового провайдера,[MOCK] Провайдер внедрен,285 287,[MOCK] Интеграция прошла успешно,818 235,FALSE,FALSE,[MOCK] Отказ от легаси кода,[MOCK] Перенос на Q4,25 038,[MOCK] Сложности с легаси,25 098,TRUE,TRUE,[MOCK] Стабилизация работы,[MOCK] Стабильно,58 648,,150 000,TRUE,TRUE,[MOCK] Поддержка нового провайдера,[MOCK] SLA 99.99%,10 000,,120 000,FALSE,FALSE,[MOCK] Оптимизация костов СМС,[MOCK] -5% затрат,5 000,[MOCK] Проблемы с договором,120 000,TRUE,TRUE,[MOCK] Аудит каналов доставки,[MOCK] Проведен,5 000,,120 000,TRUE,TRUE,[MOCK] Поддержка,[MOCK] Стабильно,5 000,[MOCK] Штатный режим
Client Platform,Auth&Security,Аутентификация,,"Eurasia, IMF, MENA, Drinkit",0,FALSE,TRUE,[MOCK] Анализ текущего решения,[MOCK] Анализ завершен,0,,88 229,FALSE,FALSE,[MOCK] Проработка архитектуры,[MOCK] Готово,57 057,[MOCK] Нехватка архитектора,64 798,FALSE,TRUE,[MOCK] MVP нового Auth,[MOCK] MVP запущен,4 173,[MOCK] MVP в срок,32 823,FALSE,TRUE,[MOCK] Миграция 10% юзеров,[MOCK] 10% переведено,4 183,,500 000,FALSE,TRUE,[MOCK] Миграция 50% юзеров,[MOCK] 55% переведено,20 000,[MOCK] Ускорились,450 000,FALSE,FALSE,[MOCK] Миграция 100% юзеров,[MOCK] Завершено,15 000,[MOCK] Баги на проде,200 000,TRUE,TRUE,[MOCK] Отключение старого Auth,[MOCK] Отключено,5 000,,100 000,TRUE,TRUE,[MOCK] Поддержка,[MOCK] Стабильно,0,
Client Platform,Auth&Security,Антифрод,,"Eurasia, IMF, MENA",1 917 333,FALSE,TRUE,[MOCK] Разработка модели v1,[MOCK] Модель v1 готова,146 581,,2 552 266,FALSE,FALSE,[MOCK] Тестирование на проде,[MOCK] Тесты ок,684 690,[MOCK] Ложноположительные сработки,1 613 858,FALSE,FALSE,[MOCK] Раскатка на всю сеть,[MOCK] Раскатили на 30%,37 557,[MOCK] Блокеры со стороны легаси,841 307,FALSE,TRUE,[MOCK] Завершение раскатки,[MOCK] Раскатано 100%,37 647,[MOCK] Финализировали,300 000,TRUE,TRUE,[MOCK] Снижение фрода на 5%,[MOCK] Снижение на 6%,10 000,,300 000,TRUE,FALSE,[MOCK] Автотюнинг правил,[MOCK] Внедрено,10 000,[MOCK] Ошибка в логике,300 000,TRUE,TRUE,[MOCK] Поддержка моделей,[MOCK] Ок,10 000,,300 000,FALSE,TRUE,[MOCK] Анализ новых угроз,[MOCK] Отчет готов,10 000,[MOCK] Новая уязвимость
Client Platform,Auth&Security,СМС-Атаки,,"Eurasia, IMF, MENA, Drinkit",187 939,FALSE,TRUE,[MOCK] Анализ векторов атак,[MOCK] Отчет готов,29 316,,88 229,FALSE,TRUE,[MOCK] Внедрение rate limiter,[MOCK] Внедрено,57 057,,158 225,FALSE,FALSE,[MOCK] Интеграция с WAF,[MOCK] Интеграция готова,8 346,[MOCK] Сложности настройки,222 276,FALSE,TRUE,"лимиты на IP в два этапа (сначала капча, потом ShadowBan)",Done,117 296,Факт сошелся с планом,100 000,TRUE,TRUE,"критическое планируем сделать в Q4, а в Q1 фоновая поддержка",Done,5 000,,100 000,TRUE,FALSE,[MOCK] Мониторинг инцидентов,[MOCK] Без критичных сбоев,5 000,[MOCK] Пропустили атаку,100 000,FALSE,TRUE,[MOCK] Оптимизация правил WAF,[MOCK] Оптимизировано,5 000,[MOCK] Плановая работа,100 000,TRUE,TRUE,[MOCK] Поддержка,[MOCK] Стабильно,5 000,
Client Platform,Auth&Security,Рейтинг клиента,,Eurasia,0,FALSE,TRUE,[MOCK] Проработка концепта,[MOCK] Концепт утвержден,0,[MOCK] Согласовано с бизнесом,0,FALSE,TRUE,[MOCK] Дизайн скоринга,[MOCK] Готово,0,,0,FALSE,FALSE,[MOCK] MVP скоринга,[MOCK] MVP готов,0,[MOCK] Задержка разработки,0,FALSE,TRUE,[MOCK] Пилот на 1 городе,[MOCK] Пилот запущен,0,,250 000,FALSE,TRUE,[MOCK] Сбор обратной связи,[MOCK] Собрано,10 000,,250 000,FALSE,FALSE,[MOCK] Доработка алгоритма,[MOCK] Обновлен,10 000,[MOCK] Низкая точность,500 000,FALSE,TRUE,[MOCK] Раскатка на РФ,[MOCK] Раскатано,20 000,[MOCK] Масштабирование ок,150 000,TRUE,TRUE,[MOCK] Поддержка,[MOCK] Стабильно,5 000,
Client Platform,Auth&Security,Анализ уязвимостей и поддержка нетиповых акций,,Eurasia,473 642,TRUE,FALSE,[MOCK] Пентест Q1,[MOCK] Найдены 3 уязвимости,58 632,[MOCK] Долгое исправление,88 229,TRUE,TRUE,[MOCK] Закрытие уязвимостей Q1,[MOCK] Закрыто,57 057,,158 225,TRUE,TRUE,[MOCK] Пентест Q3,[MOCK] Чисто,8 346,,80 810,TRUE,FALSE,"[MOCK] Поддержка акций ""День пиццы""",[MOCK] Прошло без сбоев,8 366,[MOCK] Инцидент на кассах,160 000,TRUE,TRUE,[MOCK] Пентест Q1 26,[MOCK] Пройден,15 000,,160 000,FALSE,TRUE,[MOCK] Аудит безопасности кода,[MOCK] Завершен,15 000,[MOCK] Внешний аудитор,160 000,TRUE,FALSE,[MOCK] Пентест Q3 26,[MOCK] Пройден,15 000,[MOCK] Критичные баги,160 000,TRUE,TRUE,[MOCK] Обновление политик,[MOCK] Обновлено,15 000,
Client Platform,Auth&Security,Влеты и Техдолг,,IT,0,FALSE,TRUE,[MOCK] Разбор бэклога,[MOCK] Разобрано 20 задач,0,,0,FALSE,TRUE,[MOCK] Рефакторинг модуля X,[MOCK] Готово,0,,0,FALSE,FALSE,[MOCK] Снижение техдолга на 10%,[MOCK] Снизили на 5%,0,[MOCK] Приоритет на фичи,80 810,FALSE,TRUE,[MOCK] Оптимизация БД,[MOCK] Ускорено на 15%,58 648,,100 000,FALSE,TRUE,[MOCK] Обновление библиотек,[MOCK] Обновлено,0,[MOCK] Без простоев,100 000,FALSE,FALSE,[MOCK] Рефакторинг API,[MOCK] Завершено,0,[MOCK] Нарушение контрактов,100 000,TRUE,TRUE,[MOCK] Чистка логов,[MOCK] Очищено,0,,100 000,TRUE,TRUE,[MOCK] Архив старых данных,[MOCK] Архивировано,0,
Client Platform,Menu,Заведение продукта,,"Eurasia, IMF, Drinkit",4 939 011,FALSE,TRUE,[MOCK] Сокращение TTM продукта,[MOCK] TTM -2 дня,219 186,,6 291 370,FALSE,FALSE,[MOCK] Упрощение интерфейса заведения,[MOCK] Внедрено,341 582,[MOCK] Негатив от пользователей,4 303 142,FALSE,TRUE,[MOCK] API для массового заведения,[MOCK] Готово,31 559,,2 862 435,FALSE,TRUE,[MOCK] Интеграция с ERP,[MOCK] Готово,31 628,[MOCK] Сложная интеграция,500 000,TRUE,FALSE,[MOCK] Поддержка,[MOCK] SLA соблюден,20 000,[MOCK] Рост обращений,500 000,FALSE,TRUE,[MOCK] Оптимизация флоу,[MOCK] -3 клика,20 000,,500 000,TRUE,TRUE,[MOCK] Поддержка,[MOCK] Стабильно,20 000,,500 000,TRUE,TRUE,[MOCK] Поддержка,[MOCK] Стабильно,20 000,
Client Platform,Menu,Ценообразование продукта,,"Eurasia, IMF, Drinkit",1 067 539,FALSE,TRUE,[MOCK] Гибкое ценообразование v2,[MOCK] Запущено,127 617,,1 265 738,FALSE,TRUE,[MOCK] Управление наценками,[MOCK] Готово,118 870,,881 604,FALSE,FALSE,[MOCK] История изменений цен,[MOCK] Реализовано,9 473,[MOCK] Проблемы с хранилищем,732 631,FALSE,TRUE,[MOCK] Экспорт прайс-листов,[MOCK] Готово,9 493,,200 000,FALSE,TRUE,[MOCK] Поддержка,[MOCK] Ок,5 000,[MOCK] Рефакторинг ядра,200 000,FALSE,FALSE,[MOCK] Оптимизация расчетов,[MOCK] Ускорено,5 000,[MOCK] Ошибки округления,200 000,TRUE,TRUE,[MOCK] Поддержка,[MOCK] Ок,5 000,,200 000,TRUE,TRUE,[MOCK] Поддержка,[MOCK] Ок,5 000,
Client Platform,Menu,Маркетинг продукта,,"Eurasia, IMF, Drinkit",517 589,FALSE,FALSE,[MOCK] Конструктор лендингов,[MOCK] MVP готов,89 083,[MOCK] UX требует доработки,652 139,FALSE,TRUE,[MOCK] АБ тесты на карточках,[MOCK] Запущено,68 195,,452 222,FALSE,TRUE,[MOCK] Видео в карточке товара,[MOCK] Готово,4 924,,512 781,TRUE,TRUE,[MOCK] Стабилизация функционала,[MOCK] Стабильно,4 934,,150 000,TRUE,FALSE,[MOCK] Поддержка,[MOCK] Ок,5 000,[MOCK] Баг на iOS,250 000,FALSE,TRUE,[MOCK] Новые виджеты,[MOCK] Разработано,10 000,,150 000,TRUE,TRUE,[MOCK] Поддержка,[MOCK] Ок,5 000,,150 000,TRUE,TRUE,[MOCK] Поддержка,[MOCK] Ок,5 000,
