Unit,Team,Initiative,Описание,Стейкхолдер (мок),25_Q1_Стоимость,25_Q1_Поддержка,25_Q1_On-Track,25_Q1_Metric Plan,25_Q1_Metric Fact,25_Q1_Other Costs,25_Q1_Comment,25_Q2_Стоимость,25_Q2_Поддержка,25_Q2_On-Track,25_Q2_Metric Plan,25_Q2_Metric Fact,25_Q2_Other Costs,25_Q2_Comment,25_Q3_Стоимость,25_Q3_Поддержка,25_Q3_On-Track,25_Q3_Metric Plan,25_Q3_Metric Fact,25_Q3_Other Costs,25_Q3_Comment,25_Q4_Стоимость,25_Q4_Поддержка,25_Q4_On-Track,25_Q4_Metric Plan,25_Q4_Metric Fact,25_Q4_Other Costs,25_Q4_Comment,26_Q1_Стоимость,26_Q1_Поддержка,26_Q1_On-Track,26_Q1_Metric Plan,26_Q1_Metric Fact,26_Q1_Other Costs,26_Q1_Comment,26_Q2_Стоимость,26_Q2_Поддержка,26_Q2_On-Track,26_Q2_Metric Plan,26_Q2_Metric Fact,26_Q2_Other Costs,26_Q2_Comment,26_Q3_Стоимость,26_Q3_Поддержка,26_Q3_On-Track,26_Q3_Metric Plan,26_Q3_Metric Fact,26_Q3_Other Costs,26_Q3_Comment,26_Q4_Стоимость,26_Q4_Поддержка,26_Q4_On-Track,26_Q4_Metric Plan,26_Q4_Metric Fact,26_Q4_Other Costs,26_Q4_Comment
Client Platform,Auth&Security,Улучшение OTP,,"Eurasia, IMF, MENA, Drinkit",532 274,FALSE,TRUE,[MOCK] Снижение latency на 10%,[MOCK] Latency снижен на 12%,58 632,[MOCK] Успешный старт,952 723,FALSE,TRUE,[MOCK] Внедрение нового провайдера,[MOCK] Провайдер внедрен,285 287,[MOCK] Интеграция прошла успешно,1 244 563,FALSE,FALSE,[MOCK] Отказ от легаси кода,[MOCK] Перенос на Q4,25 038,[MOCK] Сложности с легаси,265 890,TRUE,TRUE,[MOCK] Стабилизация работы,[MOCK] Стабильно,58 648,,158 900,TRUE,TRUE,[MOCK] Поддержка нового провайдера,[MOCK] SLA 99.99%,10 000,,162 400,FALSE,FALSE,[MOCK] Оптимизация костов СМС,[MOCK] -5% затрат,5 000,[MOCK] Проблемы с договором,155 300,TRUE,TRUE,[MOCK] Аудит каналов доставки,[MOCK] Проведен,5 000,,160 100,TRUE,TRUE,[MOCK] Поддержка,[MOCK] Стабильно,5 000,[MOCK] Штатный режим
Client Platform,Auth&Security,Аутентификация,,"Eurasia, IMF, MENA, Drinkit",0,FALSE,TRUE,[MOCK] Анализ текущего решения,[MOCK] Анализ завершен,0,,145 286,FALSE,FALSE,[MOCK] Проработка архитектуры,[MOCK] Готово,57 057,[MOCK] Нехватка архитектора,101 160,FALSE,TRUE,[MOCK] MVP нового Auth,[MOCK] MVP запущен,4 173,[MOCK] MVP в срок,115 400,FALSE,TRUE,[MOCK] Миграция 10% юзеров,[MOCK] 10% переведено,4 183,,480 500,FALSE,TRUE,[MOCK] Миграция 50% юзеров,[MOCK] 55% переведено,20 000,[MOCK] Ускорились,250 000,FALSE,FALSE,[MOCK] Миграция 100% юзеров,[MOCK] Завершено,15 000,[MOCK] Баги на проде,50 000,TRUE,TRUE,[MOCK] Отключение старого Auth,[MOCK] Отключено,5 000,,0,TRUE,TRUE,[MOCK] Поддержка,[MOCK] Стабильно,0,
Client Platform,Auth&Security,Антифрод,,"Eurasia, IMF, MENA",2 063 914,FALSE,TRUE,[MOCK] Разработка модели v1,[MOCK] Модель v1 готова,146 581,,3 236 956,FALSE,FALSE,[MOCK] Тестирование на проде,[MOCK] Тесты ок,684 690,[MOCK] Ложноположительные сработки,2 440 685,FALSE,FALSE,[MOCK] Раскатка на всю сеть,[MOCK] Раскатили на 30%,37 557,[MOCK] Блокеры со стороны легаси,2 550 100,FALSE,TRUE,[MOCK] Завершение раскатки,[MOCK] Раскатано 100%,37 647,[MOCK] Финализировали,380 500,TRUE,TRUE,[MOCK] Снижение фрода на 5%,[MOCK] Снижение на 6%,10 000,,375 200,TRUE,FALSE,[MOCK] Автотюнинг правил,[MOCK] Внедрено,10 000,[MOCK] Ошибка в логике,382 100,TRUE,TRUE,[MOCK] Поддержка моделей,[MOCK] Ок,10 000,,378 900,FALSE,TRUE,[MOCK] Анализ новых угроз,[MOCK] Отчет готов,10 000,[MOCK] Новая уязвимость
Client Platform,Auth&Security,СМС-Атаки,,"Eurasia, IMF, MENA, Drinkit",217 255,FALSE,TRUE,[MOCK] Анализ векторов атак,[MOCK] Отчет готов,29 316,,145 286,FALSE,TRUE,[MOCK] Внедрение rate limiter,[MOCK] Внедрено,57 057,,244 827,FALSE,FALSE,[MOCK] Интеграция с WAF,[MOCK] Интеграция готова,8 346,[MOCK] Сложности настройки,205 600,FALSE,TRUE,"лимиты на IP в два этапа (сначала капча, потом ShadowBan)",Done,117 296,Факт сошелся с планом,55 400,TRUE,TRUE,"критическое планируем сделать в Q4, а в Q1 фоновая поддержка",Done,5 000,,54 800,TRUE,FALSE,[MOCK] Мониторинг инцидентов,[MOCK] Без критичных сбоев,5 000,[MOCK] Пропустили атаку,56 100,FALSE,TRUE,[MOCK] Оптимизация правил WAF,[MOCK] Оптимизировано,5 000,[MOCK] Плановая работа,55 200,TRUE,TRUE,[MOCK] Поддержка,[MOCK] Стабильно,5 000,
Client Platform,Auth&Security,Рейтинг клиента,,Eurasia,0,FALSE,TRUE,[MOCK] Проработка концепта,[MOCK] Концепт утвержден,0,[MOCK] Согласовано с бизнесом,0,FALSE,TRUE,[MOCK] Дизайн скоринга,[MOCK] Готово,0,,0,FALSE,FALSE,[MOCK] MVP скоринга,[MOCK] MVP готов,0,[MOCK] Задержка разработки,0,FALSE,TRUE,[MOCK] Пилот на 1 городе,[MOCK] Пилот запущен,0,,250 000,FALSE,TRUE,[MOCK] Сбор обратной связи,[MOCK] Собрано,10 000,,265 000,FALSE,FALSE,[MOCK] Доработка алгоритма,[MOCK] Обновлен,10 000,[MOCK] Низкая точность,100 000,FALSE,TRUE,[MOCK] Раскатка на РФ,[MOCK] Раскатано,20 000,[MOCK] Масштабирование ок,0,TRUE,TRUE,[MOCK] Поддержка,[MOCK] Стабильно,5 000,
Client Platform,Auth&Security,Анализ уязвимостей и поддержка нетиповых акций,,Eurasia,532 274,TRUE,FALSE,[MOCK] Пентест Q1,[MOCK] Найдены 3 уязвимости,58 632,[MOCK] Долгое исправление,145 286,TRUE,TRUE,[MOCK] Закрытие уязвимостей Q1,[MOCK] Закрыто,57 057,,244 827,TRUE,TRUE,[MOCK] Пентест Q3,[MOCK] Чисто,8 346,,105 400,TRUE,FALSE,"[MOCK] Поддержка акций ""День пиццы""",[MOCK] Прошло без сбоев,8 366,[MOCK] Инцидент на кассах,160 000,TRUE,TRUE,[MOCK] Пентест Q1 26,[MOCK] Пройден,15 000,,45 000,FALSE,TRUE,[MOCK] Аудит безопасности кода,[MOCK] Завершен,15 000,[MOCK] Внешний аудитор,160 000,TRUE,FALSE,[MOCK] Пентест Q3 26,[MOCK] Пройден,15 000,[MOCK] Критичные баги,160 000,TRUE,TRUE,[MOCK] Обновление политик,[MOCK] Обновлено,15 000,
Client Platform,Auth&Security,Влеты и Техдолг,,IT,0,FALSE,TRUE,[MOCK] Разбор бэклога,[MOCK] Разобрано 20 задач,0,,0,FALSE,TRUE,[MOCK] Рефакторинг модуля X,[MOCK] Готово,0,,0,FALSE,FALSE,[MOCK] Снижение техдолга на 10%,[MOCK] Снизили на 5%,0,[MOCK] Приоритет на фичи,80 810,FALSE,TRUE,[MOCK] Оптимизация БД,[MOCK] Ускорено на 15%,58 648,,100 000,FALSE,TRUE,[MOCK] Обновление библиотек,[MOCK] Обновлено,0,[MOCK] Без простоев,105 000,FALSE,FALSE,[MOCK] Рефакторинг API,[MOCK] Завершено,0,[MOCK] Нарушение контрактов,98 000,TRUE,TRUE,[MOCK] Чистка логов,[MOCK] Очищено,0,,102 000,TRUE,TRUE,[MOCK] Архив старых данных,[MOCK] Архивировано,0,
Client Platform,Menu,Заведение продукта,"Система объединяет создание продуктов, замеров и ТТК в единую платформу, заменяя разрозненные Excel-таблицы. Она решает проблемы с «фейковыми» ингредиентами и несовместимостью компонентов, обеспечивая автоматический расчет КБЖУ и валидность данных. Основная цель — снизить юнит-кост, исключить ошибки ручного ввода и ускорить запуск продуктов, делая процесс прозрачным для QA и R&D.","Eurasia, IMF, Drinkit",5 158 197,FALSE,TRUE,[MOCK] Сокращение TTM продукта,[MOCK] TTM -2 дня,219 186,,6 664 966,FALSE,FALSE,[MOCK] Упрощение интерфейса заведения,[MOCK] Внедрено,341 582,[MOCK] Негатив от пользователей,6 466 265,FALSE,TRUE,[MOCK] API для массового заведения,[MOCK] Готово,31 559,,6 150 400,FALSE,TRUE,[MOCK] Интеграция с ERP,[MOCK] Готово,31 628,[MOCK] Сложная интеграция,1 450 000,TRUE,FALSE,[MOCK] Поддержка,[MOCK] SLA соблюден,20 000,[MOCK] Рост обращений,1 480 000,FALSE,TRUE,[MOCK] Оптимизация флоу,[MOCK] -3 клика,20 000,,950 000,TRUE,TRUE,[MOCK] Поддержка,[MOCK] Стабильно,20 000,,960 000,TRUE,TRUE,[MOCK] Поддержка,[MOCK] Стабильно,20 000,
Client Platform,Menu,Ценообразование продукта,"Инициатива направлена на создание гибкой админки для управления ценами, налогами и скидками в разных юрисдикциях. Включает работу с ценовыми группами и автоматизацию импорта цен из дата-платформы, чтобы уйти от ручной загрузки файлов и обновлять данные по кнопке. Это позволяет бизнесу видеть реальное влияние налогов и наценок на прибыль, а также оперативно корректировать цены.","Eurasia, IMF, Drinkit",1 195 156,FALSE,TRUE,[MOCK] Гибкое ценообразование v2,[MOCK] Запущено,127 617,,1 388 609,FALSE,TRUE,[MOCK] Управление наценками,[MOCK] Готово,118 870,,1 291 191,FALSE,FALSE,[MOCK] История изменений цен,[MOCK] Реализовано,9 473,[MOCK] Проблемы с хранилищем,1 250 800,FALSE,TRUE,[MOCK] Экспорт прайс-листов,[MOCK] Готово,9 493,,280 500,FALSE,TRUE,[MOCK] Поддержка,[MOCK] Ок,5 000,[MOCK] Рефакторинг ядра,275 400,FALSE,FALSE,[MOCK] Оптимизация расчетов,[MOCK] Ускорено,5 000,[MOCK] Ошибки округления,282 100,TRUE,TRUE,[MOCK] Поддержка,[MOCK] Ок,5 000,,278 900,TRUE,TRUE,[MOCK] Поддержка,[MOCK] Ок,5 000,
Client Platform,Menu,Маркетинг продукта,"Разработка конструктора карточек товаров и админки для комбо-наборов, включающей управление слотами, упаковкой и тегами. Цель состоит в том, чтобы маркетологи могли запускать новые акции и комбо менее чем за 7 дней без привлечения разработчиков. Также решается задача корректного отображения продуктов и снижения количества ошибок при сборке заказов.","Eurasia, IMF, Drinkit",606 672,FALSE,FALSE,[MOCK] Конструктор лендингов,[MOCK] MVP готов,89 083,[MOCK] UX требует доработки,724 335,FALSE,TRUE,[MOCK] АБ тесты на карточках,[MOCK] Запущено,68 195,,662 139,FALSE,TRUE,[MOCK] Видео в карточке товара,[MOCK] Готово,4 924,,512 781,TRUE,TRUE,[MOCK] Стабилизация функционала,[MOCK] Стабильно,4 934,,150 000,TRUE,FALSE,[MOCK] Поддержка,[MOCK] Ок,5 000,[MOCK] Баг на iOS,155 000,FALSE,TRUE,[MOCK] Новые виджеты,[MOCK] Разработано,10 000,,50 000,TRUE,TRUE,[MOCK] Поддержка,[MOCK] Ок,5 000,,0,TRUE,TRUE,[MOCK] Поддержка,[MOCK] Ок,5 000,
